schema_version,record_type,phase,case,nlat,nlon,exclusive_lmax_mmax,transform,implementation,dtype,batch_size,measurement,status,reason,warmup,repeat,samples_s,median_s,minimum_s,milliseconds_per_batch,milliseconds_per_frame,frames_per_second,module_buffer_bytes,estimated_module_bytes,estimated_initial_peak_bytes,estimated_construction_peak_rss_bytes,constructor_seconds,constructor_peak_allocated_bytes,constructor_peak_reserved_bytes,host_rss_before_construction_bytes,host_rss_after_construction_bytes,host_peak_rss_during_construction_bytes,host_memory_limit_bytes,host_memory_budget_bytes,cuda_device_name,cuda_total_memory_bytes,cuda_allocated_before_input_bytes,cuda_reserved_before_input_bytes,cuda_allocated_before_forward_bytes,cuda_reserved_before_forward_bytes,cuda_peak_allocated_bytes,cuda_peak_reserved_bytes,runtime_extra_allocated_bytes,runtime_extra_reserved_bytes,input_bytes,predicted_peak_bytes,memory_budget_bytes,memory_budget_fraction,source_sha,benchmark_code_sha,worker_pid,worker_returncode,worker_stderr_tail,started_at,finished_at,traceback
sht_bench.torch_bc_resolution_scaling.v1,performance,phase_b_batch,361x720x360,361,720,360,vector,runtime_fold,float32,1024,forward,skipped_predicted_capacity,previous batch 512 was oom_cuda; larger batches not launched,,,,,,,,,,374293808,9078499272,4068092288,,,,,,,,82463372083,,,,,,,,,,,,36128056935,10897797939,0.85,,,,,,,,
sht_bench.torch_bc_resolution_scaling.v1,performance,phase_b_batch,721x1440x720,721,1440,720,scalar,runtime_fold,float32,512,forward,skipped_predicted_capacity,previous batch 256 was oom_cuda; larger batches not launched,,,,,,,,,,1495083608,10747887492,13034410688,,,,,,,,82463372083,,,,,,,,,,,,37487011431,10897797939,0.85,,,,,,,,
sht_bench.torch_bc_resolution_scaling.v1,performance,phase_b_batch,721x1440x720,721,1440,720,scalar,runtime_fold,float32,1024,forward,skipped_predicted_capacity,previous batch 256 was oom_cuda; larger batches not launched,,,,,,,,,,1495083608,19253149572,13034410688,,,,,,,,82463372083,,,,,,,,,,,,73162083533,10897797939,0.85,,,,,,,,
sht_bench.torch_bc_resolution_scaling.v1,performance,phase_b_batch,721x1440x720,721,1440,720,scalar,precomputed_projection,float32,512,forward,skipped_predicted_capacity,predicted CUDA peak 12990458880 exceeds budget 10897797939,,,,,,,,,,2990131200,12990458880,24994791424,,,,,,,,82463372083,,,,,,,,,,,,13833653453,10897797939,0.85,,,,,,,,
sht_bench.torch_bc_resolution_scaling.v1,performance,phase_b_batch,721x1440x720,721,1440,720,scalar,precomputed_projection,float32,1024,forward,skipped_predicted_capacity,previous batch 512 was skipped_predicted_capacity; larger batches not launched,,,,,,,,,,2990131200,21495720960,24994791424,,,,,,,,82463372083,,,,,,,,,,,,24030845338,10897797939,0.85,,,,,,,,
sht_bench.torch_bc_resolution_scaling.v1,performance,phase_b_batch,721x1440x720,721,1440,720,vector,runtime_fold,float32,256,forward,skipped_predicted_capacity,previous batch 128 was oom_cuda; larger batches not launched,,,,,,,,,,2990149208,12990485892,24994935488,,,,,,,,82463372083,,,,,,,,,,,,39291401012,10897797939,0.85,,,,,,,,
sht_bench.torch_bc_resolution_scaling.v1,performance,phase_b_batch,721x1440x720,721,1440,720,vector,runtime_fold,float32,512,forward,skipped_predicted_capacity,previous batch 128 was oom_cuda; larger batches not launched,,,,,,,,,,2990149208,21495747972,24994935488,,,,,,,,82463372083,,,,,,,,,,,,74979894887,10897797939,0.85,,,,,,,,
sht_bench.torch_bc_resolution_scaling.v1,performance,phase_b_batch,721x1440x720,721,1440,720,vector,runtime_fold,float32,1024,forward,skipped_predicted_capacity,previous batch 128 was oom_cuda; larger batches not launched,,,,,,,,,,2990149208,38506272132,24994935488,,,,,,,,82463372083,,,,,,,,,,,,146356882637,10897797939,0.85,,,,,,,,
sht_bench.torch_bc_resolution_scaling.v1,performance,phase_b_batch,721x1440x720,721,1440,720,vector,precomputed_projection,float32,64,forward,skipped_predicted_capacity,predicted CUDA peak 11096709120 exceeds budget 10897797939,,,,,,,,,,5980262400,11096709120,48915841024,,,,,,,,82463372083,,,,,,,,,,,,10438783796,10897797939,0.85,,,,,,,,
sht_bench.torch_bc_resolution_scaling.v1,performance,phase_b_batch,721x1440x720,721,1440,720,vector,precomputed_projection,float32,128,forward,skipped_predicted_capacity,previous batch 64 was skipped_predicted_capacity; larger batches not launched,,,,,,,,,,5980262400,13223024640,48915841024,,,,,,,,82463372083,,,,,,,,,,,,13660009268,10897797939,0.85,,,,,,,,
