record_type,backend,operation,case,nlat,nlon,degree,torch_lmax_exclusive,torch_mmax_exclusive,dtype,threads,frames,torch_analysis_buffer_bytes,torch_synthesis_buffer_bytes,torch_setup_s,correctness,iterations,samples_s,minimum_s,median_s,mean_s,timing_method
performance,ducc0.sht,analysis,cc-73x144-t71,73,144,71,72,72,float32,1,1,1515532,1513728,0.025502240052446723,"{""synthesis"": {""relative_l2"": 1.3761578543380892e-07, ""maximum_absolute"": 1.9073486328125e-05}, ""analysis"": {""relative_l2"": 1.9596507172536803e-07, ""maximum_absolute"": 8.429369700024836e-07}}",1024,"[0.00025735611328125, 0.00025687583984375, 0.0002563400634765625, 0.0002602153388671875, 0.00026155705859375]",0.0002563400634765625,0.00025735611328125,0.0002584688828125,perf_counter_ns-wall
performance,ducc0.sht,synthesis,cc-73x144-t71,73,144,71,72,72,float32,1,1,1515532,1513728,0.025502240052446723,"{""synthesis"": {""relative_l2"": 1.3761578543380892e-07, ""maximum_absolute"": 1.9073486328125e-05}, ""analysis"": {""relative_l2"": 1.9596507172536803e-07, ""maximum_absolute"": 8.429369700024836e-07}}",2304,"[9.036996701388889e-05, 9.00805603298611e-05, 9.006294097222221e-05, 8.877569835069444e-05, 8.959238715277778e-05]",8.877569835069444e-05,9.006294097222221e-05,8.977631076388888e-05,perf_counter_ns-wall
performance,torch-harmonics,analysis,cc-73x144-t71,73,144,71,72,72,float32,1,1,1515532,1513728,0.025502240052446723,"{""synthesis"": {""relative_l2"": 1.3761578543380892e-07, ""maximum_absolute"": 1.9073486328125e-05}, ""analysis"": {""relative_l2"": 1.9596507172536803e-07, ""maximum_absolute"": 8.429369700024836e-07}}",768,"[0.00036108478515625, 0.0003694798984375, 0.00037525630208333336, 0.0003794477669270833, 0.000378676640625]",0.00036108478515625,0.00037525630208333336,0.00037278907864583333,perf_counter_ns-wall
performance,torch-harmonics,synthesis,cc-73x144-t71,73,144,71,72,72,float32,1,1,1515532,1513728,0.025502240052446723,"{""synthesis"": {""relative_l2"": 1.3761578543380892e-07, ""maximum_absolute"": 1.9073486328125e-05}, ""analysis"": {""relative_l2"": 1.9596507172536803e-07, ""maximum_absolute"": 8.429369700024836e-07}}",1024,"[0.00021990482421875, 0.00021690223828125, 0.000217778419921875, 0.000220955517578125, 0.000219385416015625]",0.00021690223828125,0.000219385416015625,0.00021898528320312498,perf_counter_ns-wall
performance,ducc0.sht,analysis,cc-721x1440-t719,721,1440,719,720,720,float32,1,1,1495083604,1495065600,11.234122936846688,"{""synthesis"": {""relative_l2"": 2.435480155327241e-07, ""maximum_absolute"": 0.000335693359375}, ""analysis"": {""relative_l2"": 2.9368268883445126e-07, ""maximum_absolute"": 2.0951370061084162e-06}}",6,"[0.03520149633333333, 0.035212657, 0.0352512735, 0.03529596116666667, 0.03529442]",0.03520149633333333,0.0352512735,0.035251161600000004,perf_counter_ns-wall
performance,ducc0.sht,synthesis,cc-721x1440-t719,721,1440,719,720,720,float32,1,1,1495083604,1495065600,11.234122936846688,"{""synthesis"": {""relative_l2"": 2.435480155327241e-07, ""maximum_absolute"": 0.000335693359375}, ""analysis"": {""relative_l2"": 2.9368268883445126e-07, ""maximum_absolute"": 2.0951370061084162e-06}}",11,"[0.019158456909090908, 0.019164844181818182, 0.019107333272727272, 0.019198536545454545, 0.01917763509090909]",0.019107333272727272,0.019164844181818182,0.019161361199999997,perf_counter_ns-wall
performance,torch-harmonics,analysis,cc-721x1440-t719,721,1440,719,720,720,float32,1,1,1495083604,1495065600,11.234122936846688,"{""synthesis"": {""relative_l2"": 2.435480155327241e-07, ""maximum_absolute"": 0.000335693359375}, ""analysis"": {""relative_l2"": 2.9368268883445126e-07, ""maximum_absolute"": 2.0951370061084162e-06}}",2,"[0.180367911, 0.182556344, 0.1784872815, 0.1748317085, 0.176898507]",0.1748317085,0.1784872815,0.1786283504,perf_counter_ns-wall
performance,torch-harmonics,synthesis,cc-721x1440-t719,721,1440,719,720,720,float32,1,1,1495083604,1495065600,11.234122936846688,"{""synthesis"": {""relative_l2"": 2.435480155327241e-07, ""maximum_absolute"": 0.000335693359375}, ""analysis"": {""relative_l2"": 2.9368268883445126e-07, ""maximum_absolute"": 2.0951370061084162e-06}}",2,"[0.144442752, 0.1431976835, 0.1399118845, 0.143303244, 0.1393399765]",0.1393399765,0.1431976835,0.14203910809999998,perf_counter_ns-wall
performance,ducc0.sht,analysis,cc-73x144-t71,73,144,71,72,72,float64,1,1,3030992,3027456,0.0195169469807297,"{""synthesis"": {""relative_l2"": 1.5246621351133097e-14, ""maximum_absolute"": 5.5990767577895895e-12}, ""analysis"": {""relative_l2"": 7.57325071481268e-15, ""maximum_absolute"": 8.290969546396402e-14}}",1536,"[0.00026080764518229165, 0.0002615524088541667, 0.0002607770813802083, 0.00025883797265625, 0.00026126114648437497]",0.00025883797265625,0.00026080764518229165,0.00026064725091145836,perf_counter_ns-wall
performance,ducc0.sht,synthesis,cc-73x144-t71,73,144,71,72,72,float64,1,1,3030992,3027456,0.0195169469807297,"{""synthesis"": {""relative_l2"": 1.5246621351133097e-14, ""maximum_absolute"": 5.5990767577895895e-12}, ""analysis"": {""relative_l2"": 7.57325071481268e-15, ""maximum_absolute"": 8.290969546396402e-14}}",2304,"[9.159712934027778e-05, 9.136871571180556e-05, 9.177052256944445e-05, 9.17797282986111e-05, 9.217088585069444e-05]",9.136871571180556e-05,9.177052256944445e-05,9.173739635416666e-05,perf_counter_ns-wall
